team_a,team_b,played,a_wins,draws,b_wins,a_goals,b_goals,last_meeting,last_score,last_tournament
Canada,Curaçao,3,2,1,0,7,1,2025-06-21,Curaçao 1-1 Canada,Gold Cup
Canada,Ecuador,1,0,1,0,0,0,2025-11-13,Canada 0-0 Ecuador,Friendly
Canada,France,1,0,1,0,0,0,2024-06-09,France 0-0 Canada,Friendly
Canada,Ivory Coast,1,0,1,0,0,0,2025-06-10,Canada 0-0 Ivory Coast,Canadian Shield
Canada,Japan,2,1,0,1,3,5,2023-10-13,Japan 4-1 Canada,Friendly
Canada,Mexico,2,0,1,1,0,2,2025-03-20,Canada 0-2 Mexico,CONCACAF Nations League
Canada,Morocco,1,0,0,1,1,2,2022-12-01,Canada 1-2 Morocco,FIFA World Cup
Canada,Netherlands,1,0,0,1,0,4,2024-06-06,Netherlands 4-0 Canada,Friendly
Canada,Panama,2,2,0,0,4,1,2024-10-15,Canada 2-1 Panama,Friendly
Canada,Qatar,1,1,0,0,2,0,2022-09-23,Canada 2-0 Qatar,Friendly
Canada,Tunisia,1,0,1,0,0,0,2026-03-31,Canada 0-0 Tunisia,Friendly
Canada,United States,4,2,1,1,6,6,2025-03-23,United States 1-2 Canada,CONCACAF Nations League
Canada,Uruguay,2,0,1,1,2,4,2024-07-13,Canada 2-2 Uruguay,Copa América
Canada,Uzbekistan,1,1,0,0,2,0,2026-06-01,Canada 2-0 Uzbekistan,Friendly
Cape Verde,Ecuador,1,0,0,1,0,1,2022-06-11,Ecuador 1-0 Cape Verde,Friendly
Cape Verde,Egypt,4,0,3,1,4,7,2025-11-17,Cape Verde 1-1 Egypt,Al Ain International Cup
Cape Verde,Ghana,1,1,0,0,2,1,2024-01-14,Ghana 1-2 Cape Verde,African Cup of Nations
Cape Verde,Iran,1,0,1,0,0,0,2025-11-13,Iran 0-0 Cape Verde,Al Ain International Cup
Cape Verde,Morocco,1,0,1,0,0,0,2023-06-12,Morocco 0-0 Cape Verde,Friendly
Cape Verde,South Africa,1,0,1,0,0,0,2024-02-03,Cape Verde 0-0 South Africa,African Cup of Nations
Cape Verde,Tunisia,1,0,0,1,0,2,2024-01-10,Tunisia 2-0 Cape Verde,Friendly
Colombia,Croatia,1,0,0,1,1,2,2026-03-26,Colombia 1-2 Croatia,Friendly
Colombia,Ecuador,2,0,1,1,0,1,2024-11-19,Colombia 0-1 Ecuador,FIFA World Cup qualification
Colombia,France,1,0,0,1,1,3,2026-03-29,Colombia 1-3 France,Friendly
Colombia,Germany,1,1,0,0,2,0,2023-06-20,Germany 0-2 Colombia,Friendly
Colombia,Iraq,1,1,0,0,1,0,2023-06-16,Colombia 1-0 Iraq,Friendly
Colombia,Japan,1,1,0,0,2,1,2023-03-28,Japan 1-2 Colombia,Friendly
Colombia,Mexico,3,3,0,0,10,4,2025-10-11,Mexico 0-4 Colombia,Friendly
Colombia,New Zealand,1,1,0,0,2,1,2025-11-15,Colombia 2-1 New Zealand,Friendly
Colombia,Panama,1,1,0,0,5,0,2024-07-06,Colombia 5-0 Panama,Copa América
Colombia,Paraguay,4,3,1,0,7,3,2025-03-25,Colombia 2-2 Paraguay,FIFA World Cup qualification
Colombia,South Korea,1,0,1,0,2,2,2023-03-24,South Korea 2-2 Colombia,Friendly
Colombia,Spain,1,1,0,0,1,0,2024-03-22,Spain 0-1 Colombia,Friendly
Colombia,United States,2,1,1,0,5,1,2024-06-08,United States 1-5 Colombia,Friendly
Colombia,Uruguay,3,1,1,1,5,5,2024-11-15,Uruguay 3-2 Colombia,FIFA World Cup qualification
Croatia,Czech Republic,2,1,1,0,5,1,2025-10-09,Czech Republic 0-0 Croatia,FIFA World Cup qualification
Croatia,Egypt,1,1,0,0,4,2,2024-03-26,Egypt 2-4 Croatia,FIFA Series
Croatia,France,3,2,0,1,3,2,2025-03-23,France 2-0 Croatia,UEFA Nations League
Croatia,Japan,1,0,1,0,1,1,2022-12-05,Japan 1-1 Croatia,FIFA World Cup
Croatia,Morocco,2,1,1,0,2,1,2022-12-17,Croatia 2-1 Morocco,FIFA World Cup
Croatia,Netherlands,1,1,0,0,4,2,2023-06-14,Netherlands 2-4 Croatia,UEFA Nations League
Croatia,Portugal,3,1,1,1,4,4,2024-11-18,Croatia 1-1 Portugal,UEFA Nations League
Croatia,Saudi Arabia,1,1,0,0,1,0,2022-11-16,Saudi Arabia 0-1 Croatia,Friendly
Croatia,Scotland,2,1,0,1,2,2,2024-11-15,Scotland 1-0 Croatia,UEFA Nations League
Croatia,Spain,2,0,1,1,0,3,2024-06-15,Spain 3-0 Croatia,UEFA Euro
Croatia,Tunisia,1,0,1,0,0,0,2024-03-23,Tunisia 0-0 Croatia,FIFA Series
Croatia,Turkey,2,1,0,1,2,1,2023-10-12,Croatia 0-1 Turkey,UEFA Euro qualification
Curaçao,Haiti,1,1,0,0,5,1,2025-06-10,Haiti 1-5 Curaçao,FIFA World Cup qualification
Curaçao,Panama,1,0,0,1,1,2,2023-10-13,Curaçao 1-2 Panama,CONCACAF Nations League
Curaçao,Scotland,1,0,0,1,1,4,2026-05-30,Scotland 4-1 Curaçao,Friendly
Czech Republic,Norway,1,1,0,0,2,1,2024-03-22,Norway 1-2 Czech Republic,Friendly
Czech Republic,Portugal,3,0,0,3,1,8,2024-06-18,Portugal 2-1 Czech Republic,UEFA Euro
Czech Republic,Saudi Arabia,1,0,1,0,1,1,2025-09-08,Czech Republic 1-1 Saudi Arabia,Friendly
Czech Republic,Spain,1,0,0,1,0,2,2022-06-12,Spain 2-0 Czech Republic,UEFA Nations League
Czech Republic,Switzerland,1,0,0,1,1,2,2022-09-27,Switzerland 2-1 Czech Republic,UEFA Nations League
Czech Republic,Turkey,2,0,0,2,2,4,2024-06-26,Czech Republic 1-2 Turkey,UEFA Euro
DR Congo,Egypt,1,0,1,0,1,1,2024-01-28,Egypt 1-1 DR Congo,African Cup of Nations
DR Congo,Ivory Coast,1,0,0,1,0,1,2024-02-07,Ivory Coast 1-0 DR Congo,African Cup of Nations
DR Congo,Morocco,1,0,1,0,1,1,2024-01-21,Morocco 1-1 DR Congo,African Cup of Nations
DR Congo,New Zealand,1,0,1,0,1,1,2023-10-13,DR Congo 1-1 New Zealand,Friendly
DR Congo,Senegal,3,0,2,1,4,5,2025-12-27,Senegal 1-1 DR Congo,African Cup of Nations
DR Congo,South Africa,2,0,1,1,0,1,2024-02-10,South Africa 0-0 DR Congo,African Cup of Nations
Ecuador,Iraq,1,0,1,0,0,0,2022-11-12,Iraq 0-0 Ecuador,Friendly
Ecuador,Japan,1,0,1,0,0,0,2022-09-27,Ecuador 0-0 Japan,Kirin Challenge Cup
Ecuador,Mexico,2,0,2,0,1,1,2025-10-14,Mexico 1-1 Ecuador,Friendly
Ecuador,Morocco,1,0,1,0,1,1,2026-03-27,Morocco 1-1 Ecuador,Friendly
Ecuador,Netherlands,2,0,2,0,2,2,2026-03-31,Netherlands 1-1 Ecuador,Friendly
Ecuador,New Zealand,1,1,0,0,2,0,2025-11-18,Ecuador 2-0 New Zealand,Friendly
Ecuador,Paraguay,2,0,2,0,0,0,2025-09-04,Paraguay 0-0 Ecuador,FIFA World Cup qualification
Ecuador,Qatar,1,1,0,0,2,0,2022-11-20,Qatar 0-2 Ecuador,FIFA World Cup
Ecuador,Saudi Arabia,2,1,1,0,2,1,2026-05-30,Ecuador 2-1 Saudi Arabia,Friendly
Ecuador,Senegal,1,0,0,1,1,2,2022-11-29,Ecuador 1-2 Senegal,FIFA World Cup
Ecuador,United States,1,0,1,0,1,1,2025-10-10,United States 1-1 Ecuador,Friendly
Ecuador,Uruguay,2,1,1,0,2,1,2024-10-15,Uruguay 0-0 Ecuador,FIFA World Cup qualification
Egypt,Ghana,1,0,1,0,2,2,2024-01-18,Egypt 2-2 Ghana,African Cup of Nations
Egypt,Ivory Coast,1,1,0,0,3,2,2026-01-10,Egypt 3-2 Ivory Coast,African Cup of Nations
Egypt,Jordan,1,0,0,1,0,3,2025-12-09,Egypt 0-3 Jordan,Arab Cup
Egypt,New Zealand,1,1,0,0,1,0,2024-03-22,Egypt 1-0 New Zealand,FIFA Series
Egypt,Saudi Arabia,1,1,0,0,4,0,2026-03-27,Saudi Arabia 0-4 Egypt,Friendly
Egypt,Senegal,1,0,0,1,0,1,2026-01-14,Senegal 1-0 Egypt,African Cup of Nations
Egypt,South Africa,1,1,0,0,1,0,2025-12-26,Egypt 1-0 South Africa,African Cup of Nations
Egypt,South Korea,1,0,0,1,1,4,2022-06-14,South Korea 4-1 Egypt,Friendly
Egypt,Spain,1,0,1,0,0,0,2026-03-31,Spain 0-0 Egypt,Friendly
Egypt,Tunisia,1,0,0,1,1,3,2023-09-12,Egypt 1-3 Tunisia,Friendly
Egypt,Uzbekistan,1,0,0,1,0,2,2025-11-14,Uzbekistan 2-0 Egypt,Al Ain International Cup
England,France,1,0,0,1,1,2,2022-12-10,England 1-2 France,FIFA World Cup
