match_id,date,home_team,away_team,competition,sb_stage,sb_match_week,stadium,referee,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_passes,away_passes,home_goals_sb,away_goals_sb,possession_note
cebfc14eec,2024-06-25,France,Poland,UEFA Euro 2024,Group Stage,3,Signal-Iduna-Park,Marco Guida,1.891,1.179,19,10,8,3,11,3,15,20,1,3,0,0,592,441,1,1,not in open data; use pass share as proxy
ca0e4a3e5a,2024-06-25,Netherlands,Austria,UEFA Euro 2024,Group Stage,3,Olympiastadion Berlin,Ivan Kružliak,1.51,1.058,11,9,2,5,5,2,14,16,0,3,0,0,488,428,2,3,not in open data; use pass share as proxy
a1466654a6,2024-06-25,Peru,Canada,Copa America 2024,Group Stage,2,Children''s Mercy Park,Mario Alberto Escobar Toca,0.576,0.909,9,5,4,2,2,1,19,14,0,1,1,0,406,405,0,1,not in open data; use pass share as proxy
26ed3a0e40,2024-06-26,Czech Republic,Turkey,UEFA Euro 2024,Group Stage,3,Volksparkstadion,István Kovács,1.41,1.218,12,18,6,5,3,7,18,10,7,11,2,0,266,543,1,2,not in open data; use pass share as proxy
c1dbd4073d,2024-06-26,Ecuador,Jamaica,Copa America 2024,Group Stage,2,Allegiant Stadium,Cristián Marcelo Garay Reyes,2.366,0.935,23,7,3,4,7,8,9,19,0,4,0,0,315,377,3,1,not in open data; use pass share as proxy
ad137e5e71,2024-06-26,Georgia,Portugal,UEFA Euro 2024,Group Stage,3,VELTINS-Arena,Sandro Schärer,1.345,2.356,7,22,3,5,1,11,8,11,1,3,0,0,299,737,2,0,not in open data; use pass share as proxy
e6c48a7580,2024-06-26,Ukraine,Belgium,UEFA Euro 2024,Group Stage,3,MHPArena,Anthony Taylor,0.709,0.634,14,12,5,4,2,7,12,10,1,1,0,0,401,600,0,0,not in open data; use pass share as proxy
bd538df021,2024-06-26,Venezuela,Mexico,Copa America 2024,Group Stage,2,SoFi Stadium,Raphael Claus,1.139,2.384,10,18,2,5,2,7,12,16,2,2,0,0,359,530,1,0,not in open data; use pass share as proxy
d3514efb10,2024-06-27,United States,Panama,Copa America 2024,Group Stage,2,Mercedes-Benz Stadium,Ivan Arcides Barton Cisneros,0.914,0.731,6,13,3,4,0,3,6,19,2,3,1,1,223,596,1,2,not in open data; use pass share as proxy
6f1890f3a2,2024-06-27,Uruguay,Bolivia,Copa America 2024,Group Stage,2,MetLife Stadium,Juan Gabriel Benítez,2.321,0.051,18,4,9,1,4,3,12,19,0,1,0,0,531,353,5,0,not in open data; use pass share as proxy
9d4a6ce07b,2024-06-28,Colombia,Costa Rica,Copa America 2024,Group Stage,2,State Farm Stadium,Gustavo Tejera,2.902,0.165,18,5,5,0,4,2,20,19,2,1,0,0,566,335,3,0,not in open data; use pass share as proxy
52b62070c4,2024-06-28,Paraguay,Brazil,Copa America 2024,Group Stage,2,Allegiant Stadium,Piero Maza Gomez,0.692,3.748,15,17,6,6,4,6,17,14,2,3,1,0,422,500,1,4,not in open data; use pass share as proxy
